date,symbol,image_path,label_1d,label_5d,return_1d
2019-04-08,KES=X,data\charts\KES_X\20190408_0000.png,0,1,-0.000601
2019-04-09,KES=X,data\charts\KES_X\20190409_0000.png,1,1,0.000702
2019-04-10,KES=X,data\charts\KES_X\20190410_0000.png,0,1,-0.006446
2019-04-11,KES=X,data\charts\KES_X\20190411_0000.png,1,0,0.010019
2019-04-12,KES=X,data\charts\KES_X\20190412_0000.png,0,1,-0.004096
2019-04-15,KES=X,data\charts\KES_X\20190415_0000.png,1,1,0.003009
2019-04-16,KES=X,data\charts\KES_X\20190416_0000.png,0,1,-0.0001
2019-04-17,KES=X,data\charts\KES_X\20190417_0000.png,1,1,0.0012
2019-04-18,KES=X,data\charts\KES_X\20190418_0000.png,1,0,0.001398
2019-04-19,KES=X,data\charts\KES_X\20190419_0000.png,1,0,0.001496
2019-04-22,KES=X,data\charts\KES_X\20190422_0000.png,0,0,0.0
2019-04-23,KES=X,data\charts\KES_X\20190423_0000.png,0,1,-0.000199
2019-04-24,KES=X,data\charts\KES_X\20190424_0000.png,0,1,-0.009066
2019-04-25,KES=X,data\charts\KES_X\20190425_0000.png,0,1,-0.000131
2019-04-26,KES=X,data\charts\KES_X\20190426_0000.png,1,1,0.003519
2019-04-29,KES=X,data\charts\KES_X\20190429_0000.png,1,0,0.006242
2019-04-30,KES=X,data\charts\KES_X\20190430_0000.png,1,0,0.000199
2019-05-01,KES=X,data\charts\KES_X\20190501_0000.png,0,0,-0.00448
2019-05-02,KES=X,data\charts\KES_X\20190502_0000.png,1,1,0.0007
2019-05-03,KES=X,data\charts\KES_X\20190503_0000.png,1,0,0.000799
2019-05-06,KES=X,data\charts\KES_X\20190506_0000.png,0,1,-0.000399
2019-05-07,KES=X,data\charts\KES_X\20190507_0000.png,0,1,-0.009979
2019-05-08,KES=X,data\charts\KES_X\20190508_0000.png,1,1,0.009979
2019-05-09,KES=X,data\charts\KES_X\20190509_0000.png,0,1,-0.004336
2019-05-10,KES=X,data\charts\KES_X\20190510_0000.png,1,0,0.007967
2019-05-13,KES=X,data\charts\KES_X\20190513_0000.png,0,0,-0.003484
2019-05-14,KES=X,data\charts\KES_X\20190514_0000.png,0,1,0.0
2019-05-15,KES=X,data\charts\KES_X\20190515_0000.png,0,1,0.0
2019-05-16,KES=X,data\charts\KES_X\20190516_0000.png,1,1,0.0003
2019-05-17,KES=X,data\charts\KES_X\20190517_0000.png,0,1,-0.007879
2019-05-20,KES=X,data\charts\KES_X\20190520_0000.png,1,1,0.008545
2019-05-21,KES=X,data\charts\KES_X\20190521_0000.png,0,1,-0.000599
2019-05-23,KES=X,data\charts\KES_X\20190523_0000.png,1,1,0.001598
2019-05-24,KES=X,data\charts\KES_X\20190524_0000.png,1,0,0.0001
2019-05-27,KES=X,data\charts\KES_X\20190527_0000.png,0,0,-0.000598
2019-05-28,KES=X,data\charts\KES_X\20190528_0000.png,1,1,0.0001
2019-05-29,KES=X,data\charts\KES_X\20190529_0000.png,1,0,0.000698
2019-05-30,KES=X,data\charts\KES_X\20190530_0000.png,0,0,-0.001794
2019-05-31,KES=X,data\charts\KES_X\20190531_0000.png,0,1,-0.0002
2019-06-03,KES=X,data\charts\KES_X\20190603_0000.png,1,0,0.001997
2019-06-04,KES=X,data\charts\KES_X\20190604_0000.png,0,1,-0.001694
2019-06-05,KES=X,data\charts\KES_X\20190605_0000.png,0,0,-0.0001
2019-06-06,KES=X,data\charts\KES_X\20190606_0000.png,0,1,0.0
2019-06-07,KES=X,data\charts\KES_X\20190607_0000.png,0,0,-0.0001
2019-06-10,KES=X,data\charts\KES_X\20190610_0000.png,1,1,0.000699
2019-06-11,KES=X,data\charts\KES_X\20190611_0000.png,0,1,-0.000699
2019-06-12,KES=X,data\charts\KES_X\20190612_0000.png,1,1,0.0002
2019-06-13,KES=X,data\charts\KES_X\20190613_0000.png,0,1,-0.007818
2019-06-14,KES=X,data\charts\KES_X\20190614_0000.png,1,0,0.011602
2019-06-17,KES=X,data\charts\KES_X\20190617_0000.png,1,0,0.003183
2019-06-18,KES=X,data\charts\KES_X\20190618_0000.png,1,0,0.001983
2019-06-19,KES=X,data\charts\KES_X\20190619_0000.png,0,0,-0.007224
2019-06-20,KES=X,data\charts\KES_X\20190620_0000.png,0,1,-0.002093
2019-06-21,KES=X,data\charts\KES_X\20190621_0000.png,1,1,0.0003
2019-06-24,KES=X,data\charts\KES_X\20190624_0000.png,1,1,0.00749
2019-06-25,KES=X,data\charts\KES_X\20190625_0000.png,0,1,-0.007434
2019-06-26,KES=X,data\charts\KES_X\20190626_0000.png,1,1,0.002497
2019-06-27,KES=X,data\charts\KES_X\20190627_0000.png,1,1,0.007471
2019-06-28,KES=X,data\charts\KES_X\20190628_0000.png,1,0,0.002076
2019-07-01,KES=X,data\charts\KES_X\20190701_0000.png,0,0,-9.9e-05
2019-07-02,KES=X,data\charts\KES_X\20190702_0000.png,0,1,-0.004046
2019-07-03,KES=X,data\charts\KES_X\20190703_0000.png,1,0,0.010701
2019-07-04,KES=X,data\charts\KES_X\20190704_0000.png,0,1,-0.007548
2019-07-05,KES=X,data\charts\KES_X\20190705_0000.png,0,1,-0.00405
2019-07-08,KES=X,data\charts\KES_X\20190708_0000.png,1,0,0.007637
2019-07-09,KES=X,data\charts\KES_X\20190709_0000.png,1,1,0.000394
2019-07-10,KES=X,data\charts\KES_X\20190710_0000.png,1,0,0.002165
2019-07-11,KES=X,data\charts\KES_X\20190711_0000.png,0,1,-0.006774
2019-07-12,KES=X,data\charts\KES_X\20190712_0000.png,0,1,-0.000494
2019-07-15,KES=X,data\charts\KES_X\20190715_0000.png,1,0,0.008208
2019-07-16,KES=X,data\charts\KES_X\20190716_0000.png,0,1,-0.006081
2019-07-17,KES=X,data\charts\KES_X\20190717_0000.png,1,1,0.008388
2019-07-18,KES=X,data\charts\KES_X\20190718_0000.png,0,1,-0.008906
2019-07-19,KES=X,data\charts\KES_X\20190719_0000.png,0,1,0.0
2019-07-22,KES=X,data\charts\KES_X\20190722_0000.png,1,1,0.009183
2019-07-23,KES=X,data\charts\KES_X\20190723_0000.png,1,1,0.003914
2019-07-24,KES=X,data\charts\KES_X\20190724_0000.png,0,1,-0.0077
2019-07-25,KES=X,data\charts\KES_X\20190725_0000.png,1,1,0.003831
2019-07-26,KES=X,data\charts\KES_X\20190726_0000.png,1,1,0.005382
2019-07-29,KES=X,data\charts\KES_X\20190729_0000.png,1,0,0.000584
2019-07-30,KES=X,data\charts\KES_X\20190730_0000.png,0,0,-0.004961
2019-07-31,KES=X,data\charts\KES_X\20190731_0000.png,1,0,0.001075
2019-08-01,KES=X,data\charts\KES_X\20190801_0000.png,1,0,0.007226
2019-08-02,KES=X,data\charts\KES_X\20190802_0000.png,0,1,-0.008628
2019-08-05,KES=X,data\charts\KES_X\20190805_0000.png,0,0,-0.002054
2019-08-06,KES=X,data\charts\KES_X\20190806_0000.png,1,1,0.000686
2019-08-07,KES=X,data\charts\KES_X\20190807_0000.png,0,1,-0.005386
2019-08-08,KES=X,data\charts\KES_X\20190808_0000.png,1,0,0.009353
2019-08-09,KES=X,data\charts\KES_X\20190809_0000.png,0,1,-0.008876
2019-08-12,KES=X,data\charts\KES_X\20190812_0000.png,1,1,0.005314
2019-08-13,KES=X,data\charts\KES_X\20190813_0000.png,1,1,0.000489
2019-08-14,KES=X,data\charts\KES_X\20190814_0000.png,1,1,0.000783
2019-08-15,KES=X,data\charts\KES_X\20190815_0000.png,0,0,-0.000196
2019-08-16,KES=X,data\charts\KES_X\20190816_0000.png,1,0,0.000782
2019-08-19,KES=X,data\charts\KES_X\20190819_0000.png,1,0,0.000586
2019-08-20,KES=X,data\charts\KES_X\20190820_0000.png,0,0,-0.000879
2019-08-21,KES=X,data\charts\KES_X\20190821_0000.png,0,1,-0.002932
2019-08-22,KES=X,data\charts\KES_X\20190822_0000.png,0,1,-0.000196
2019-08-23,KES=X,data\charts\KES_X\20190823_0000.png,0,1,-0.006863
2019-08-26,KES=X,data\charts\KES_X\20190826_0000.png,1,1,0.009478
